,R^2
0,0.019830843082639937
1,0.007176425392190211
2,0.022455792277494835
3,0.02284630838836832
4,0.01697736640946257
5,0.021652823474366256
6,0.015513042248336939
7,0.01670549095215712
8,0.016359364026964807
9,0.012972850277876757
10,0.025853924169338516
11,0.023239837962694798
12,0.017960704435824648
13,0.014920828618403048
14,0.019133048137801034
15,0.022274105835079938
16,0.022923226964719712
17,0.013744919582906912
18,0.022772601759786237
19,0.014852266403172276
20,0.033342318190942466
21,0.02159544444892081
22,0.027842747837005244
23,0.023088289210545287
24,0.02029861790672116
25,0.020256356383193452
26,0.010281556518782486
27,0.018712868998342014
28,0.021660486623255037
29,0.016562868687484356
