,R^2
0,0.25786251939828475
1,0.29164616285464384
2,0.28411778684095434
3,0.28473941418154036
4,0.18882310546711978
5,0.2744079793500239
6,0.25619634227920585
7,0.2837928895337123
8,0.1893770737038517
9,0.2421088801124589
10,0.27134572833227943
11,0.27768373256135603
12,0.275684959163627
13,0.24782313869077655
14,0.27603965838660416
15,0.2790541692641427
16,0.22986614215196866
17,0.24138075454796726
18,0.2854240380334562
19,0.23022250759718665
20,0.25869859910172444
21,0.2928173071795219
22,0.27309838882940074
23,0.2521262277926236
24,0.2554549102119784
25,0.23526113869581733
26,0.2334136069948547
27,0.2749632163327915
28,0.26376030873117984
29,0.2692839650398213
