,R^2
0,0.0030464703258332726
1,0.003935630322183248
2,0.002103802347718786
3,0.0013115529796298153
4,0.004245269710151045
5,0.0022093862074364923
6,0.001688462992394335
7,0.0025829826750871643
8,0.004237703091457656
9,0.002958746548379132
10,0.0021032234075155642
11,0.003918308302184537
12,0.0033088313047664464
13,0.003240768711924469
14,0.001494949587446781
15,0.0022525465407610135
16,0.003127035291142888
17,0.002495341099099768
18,0.0019254665271035698
19,0.0017076583526343114
20,0.0026618942997787
21,0.002320508312926961
22,0.004042372304447928
23,0.004413100887354249
24,0.0025168534316731828
25,0.0016900459956421532
26,0.0029970446467469936
27,0.0026135625343688407
28,0.003417407037021425
29,0.002626727402895823
