,R^2
0,0.006707363756454754
1,0.005921507354420763
2,0.005108440498626687
3,0.0065892647160763484
4,0.005752908735075946
5,0.00436986590864108
6,0.006429215262244714
7,0.0054580345527849294
8,0.007295092746744003
9,0.0059973294845974134
10,0.004130110680013566
11,0.007252624263078822
12,0.006728580844979959
13,0.004916626384469658
14,0.0046142042292571794
15,0.005319061285303794
16,0.006603357651265629
17,0.00634134258396446
18,0.005005879077002229
19,0.008838098421252494
20,0.004987572942420804
21,0.005388530548991799
22,0.006426836418317872
23,0.00950741980248515
24,0.005021264118703739
25,0.007468779846654838
26,0.0056232398236191194
27,0.00456557030769944
28,0.006390700205143984
29,0.005623669069241166
