,R^2
0,0.013200332167430107
1,0.012923053626785364
2,0.013544652288958403
3,0.004021993482174913
4,0.014070529609807148
5,0.011287472993917969
6,0.011895754929261537
7,0.007346602103930677
8,0.013433835982622044
9,0.013673786315175462
10,0.00620231638377422
11,0.013398598090829328
12,0.007966990190917844
13,0.01492420532247074
14,0.009435974521383672
15,0.008450161385458177
16,0.012731370300884004
17,0.01257240729363851
18,0.016152293988157873
19,0.008859261537134344
20,0.00711876064592909
21,0.016747631370132576
22,0.018390184863256942
23,0.01265617918876727
24,0.008413696793877823
25,0.009246150275687426
26,0.0156532111271922
27,0.013316324774165444
28,0.02165511885201188
29,0.01280029698469376
