,R^2
0,0.016976137730235874
1,0.015423665346583237
2,0.02313528195804837
3,0.01669093651611686
4,0.016046132464091478
5,0.015617647923787281
6,0.02226198171858984
7,0.01542925264729389
8,0.01862291365394253
9,0.009413700502431621
10,0.023186535321659485
11,0.013736347833127605
12,0.016385417105169164
13,0.019924416250574173
14,0.016230034144870453
15,0.015771867648398774
16,0.016110330214255564
17,0.0057598201330002485
18,0.014736225358088606
19,0.01912933052045751
20,0.021355174511256347
21,0.018107944313688118
22,0.016447039907794614
23,0.02406732218627372
24,0.020624395311626964
25,0.017546936844039518
26,0.0092141532716008
27,0.015553473949649343
28,0.019789494766619287
29,0.015887896387765443
