,R^2
0,11.420111352652519
1,11.681565620120603
2,11.08016371150954
3,10.688190805608063
4,10.633053826716882
5,9.472038575193547
6,10.657963065957816
7,11.459348446455692
8,11.716309229382137
9,11.415161017396539
10,11.121683963379546
11,10.435184844076094
12,11.68771720374395
13,10.311249643557346
14,11.264048277565536
15,10.116578838819658
16,11.76389416169102
17,10.523672481008663
18,10.976428769724928
19,11.803892445946694
20,10.577931527066868
21,11.08455284134393
22,11.55271134773695
23,10.644364228976332
24,11.197615827618588
25,11.312772536410348
26,11.487683839992156
27,11.19030015913883
28,11.79873335144949
29,10.513342282545018
