,R^2
0,0.003319791040459652
1,0.003974399644830928
2,0.003173544241738213
3,0.0029362807945496616
4,0.0031886543538808265
5,0.003692732204520821
6,0.004008158829279185
7,0.004347239699341143
8,0.0036405495792772857
9,0.005060123114008053
10,0.004220544157055417
11,0.004552809864602159
12,0.003398584163413765
13,0.005124301404191844
14,0.004963890896061751
15,0.002457681493276853
16,0.002600718216258735
17,0.0032978769161472465
18,0.004465466010560526
19,0.005091336866892893
20,0.0042688468485880815
21,0.003938622776383127
22,0.003995280255272515
23,0.004633075934295627
24,0.003842376276136039
25,0.003482271332536313
26,0.0037887345050706678
27,0.004919484677057495
28,0.0038600427325605757
29,0.004424799155822279
