,R^2
0,0.0062662871101129
1,0.0033333074871353396
2,0.006270828465354761
3,0.0030537733596356365
4,4.012078590320822e-05
5,0.00736918705019618
6,0.0038464418287949
7,0.005703567641114682
8,0.006204832939656124
9,0.004199923846895159
10,0.01144232577054849
11,0.005654289886631414
12,0.0057310592961205
13,0.010561259692409841
14,0.007054995971648159
15,0.010103958293268378
16,0.00793761655589098
17,0.0020523717630728244
18,0.007791948564063511
19,0.007270444089075179
20,0.007561308990904347
21,0.015168837262464985
22,0.009687784682393286
23,0.011324979679680602
24,0.0051831774811700315
25,0.0012526257635576687
26,0.0041355324974877705
27,0.010213721569928613
28,0.011027094407530691
29,0.010086517125991956
