,R^2
0,0.0028941563254403224
1,0.004810102372517333
2,0.003740876926293102
3,0.0044346971773924215
4,0.005224134930116309
5,0.005945236952728528
6,0.003260974245643422
7,0.003451297284217114
8,0.003724501451943918
9,0.006435891177309139
10,0.004370632431301091
11,0.004428595798032231
12,0.004127447250451111
13,0.004806464422047574
14,0.004634587373195886
15,0.005291915135259284
16,0.005653176446483554
17,0.005045133058559248
18,0.005930104699726657
19,0.004598532069633232
20,0.004559023630941406
21,0.004170757567097616
22,0.004857108366399188
23,0.005969445694573361
24,0.005815071154342433
25,0.004499444225945504
26,0.003121028428670236
27,0.005857578384036
28,0.004446001024777102
29,0.004840953088488642
