,R^2
0,0.0006545079726841818
1,0.0006120034337379066
2,0.0034775186485688225
3,0.002915865925725014
4,0.0031263727957084875
5,0.0003912360143883964
6,-0.0024813930199560907
7,0.0014372796659611886
8,0.0010334249253372008
9,-0.0013654154446450795
10,-5.8412441829913675e-05
11,-0.00019045906293657655
12,0.00031734888563950125
13,0.00033924393946294096
14,0.0007322113516674555
15,-0.002233326846650785
16,0.003153088803359516
17,0.0006827439863965612
18,3.6436836331477096e-05
19,0.0008427652594982238
20,0.002104272429148013
21,-0.0003114326225763797
22,0.0009714211598982336
23,0.00039224819291217017
24,0.0030089488771473105
25,-0.000276598172937903
26,0.002863341354660043
27,-0.001183902791880187
28,0.0029903465262967055
29,0.0004727625563880622
