,R^2
0,0.0025589205061882225
1,0.0017495798879221258
2,0.0004051479970510474
3,0.0011397959371894917
4,0.0009920028124652536
5,-0.0015076543581664659
6,-0.00021039287695878706
7,-0.002195273922534935
8,-0.0034656804497110727
9,-0.0008248115993074734
10,0.0015408302948565211
11,-0.0020096888095272325
12,-0.004578839374896448
13,2.813915884980478e-05
14,-0.0002255114145858217
15,-0.0012511806061452635
16,-0.0005087860935741872
17,0.0024493988035292347
18,0.0006284786543905296
19,0.0005951069800604891
20,-0.0004896544629582333
21,-0.002078379154052512
22,-0.0006151615548184441
23,0.0002684291533587846
24,-0.0013409540788796859
25,-0.0011162946870807433
26,0.0015704114965650051
27,-0.00158311430144642
28,-0.00241450399005283
29,-0.0011345605455673757
