,R^2
0,0.018241010504791988
1,0.03599014682012647
2,0.03733126264022013
3,0.02369953734794583
4,0.019670626175888106
5,0.02738849016385614
6,0.010136185443458623
7,0.01904709562757767
8,0.022812921207733483
9,0.009743709303729253
10,0.019025476117089934
11,0.01874752394429191
12,0.02926858333803739
13,0.026059238732943357
14,0.027974094204596733
15,0.02043163635935319
16,0.027007463135638177
17,0.029240006166067256
18,0.01678207100830653
19,0.02224952406934022
20,0.015922233377687056
21,0.016712508628848766
22,0.019128579428252412
23,0.015481635733107457
24,0.01622481657644448
25,0.008724257978115046
26,0.029439869745663927
27,0.012745224218970619
28,0.011679414554496725
29,0.029016770480607024
