,R^2
0,0.012232841890803425
1,0.020961085697356996
2,0.018075981624593673
3,0.00388782968076673
4,0.01592122030012766
5,0.0009871241896372007
6,0.0049145718030567664
7,0.012824141755937934
8,0.012473536848875977
9,0.01182802109620873
10,0.015054751761620966
11,0.01813098641060673
12,0.012281310827518155
13,0.02152399121213666
14,0.007157147678662823
15,0.012924110431448255
16,0.018145692813714254
17,0.012421181982405827
18,0.015530150788508834
19,0.004242070453825408
20,0.013520413579923174
21,0.010861450877267975
22,0.009960596339465444
23,0.011672296823127315
24,0.004484275952349681
25,0.016610543811809375
26,0.01890650983577813
27,0.02003002500678963
28,0.010150639238348802
29,0.0050236830140455435
