,R^2
0,-5.389252989540516e-05
1,7.831431488114493e-05
2,-5.775892619852563e-06
3,5.283809025979913e-06
4,2.7481838963616667e-05
5,-3.1976985352621945e-05
6,4.736756554879484e-06
7,2.9015307392299405e-05
8,1.4070470410354474e-05
9,-5.8801412961884125e-05
10,3.647444977217251e-05
11,1.5469683572466586e-05
12,-3.991336554931557e-06
13,-2.8715476637741766e-05
14,-5.795634495320279e-05
15,6.222582713044655e-05
16,-7.831045592876507e-05
17,-3.4917156898961466e-05
18,-2.8701569744216116e-06
19,4.469578750265768e-05
20,-3.719016316272583e-05
21,-4.5224846950242537e-05
22,2.5004233117131847e-05
23,2.6059496820662886e-05
24,-6.782109880032472e-06
25,-3.484301317213667e-05
26,7.063797811079908e-05
27,-3.8257405054920035e-05
28,3.0109287073032398e-05
29,-2.928608912733388e-05
