,R^2
0,-0.00043937352515022177
1,-4.168032627327456e-05
2,0.000627173057957231
3,0.0004689730436588935
4,3.7573774276933314e-05
5,8.358595270141489e-05
6,0.000639378787898548
7,0.0003876239380419255
8,5.189606147359971e-05
9,0.0006800989048743045
10,-0.00010110853032219147
11,-0.000662036902235541
12,0.0002777136050398088
13,0.0009580417331204183
14,0.0013398768571672992
15,0.0006943508179728664
16,5.03863841566643e-05
17,0.0005529599403935048
18,0.0008867879517869826
19,0.0008041357988074482
20,0.00027238463084855447
21,0.0008405231591027684
22,0.0010038157264223857
23,-0.0005926967031751884
24,0.0013848001325047488
25,0.00018389474542046536
26,-0.0007925570272967475
27,0.00038299715571921134
28,-0.001684089960095836
29,0.00023094574951743052
