,R^2
0,-7.949196856316121e-14
1,-1.7852386235972517e-13
2,-3.552713678800501e-13
3,-3.2884805989397137e-13
4,-9.35695965154082e-13
5,-1.0591527654923993e-13
6,-2.6645352591003757e-14
7,-4.856115509710435e-13
8,-3.892441924335799e-13
9,-2.107203300738547e-13
10,-6.177280909014371e-13
11,-2.5845992013273644e-13
12,-2.62234678416462e-13
13,-1.2367884494324244e-13
14,-4.0034642267983145e-13
15,-1.8895995879120164e-13
16,-4.1588954502458364e-13
17,-2.4291679778798425e-13
18,1.567634910770721e-13
19,-3.694822225952521e-13
20,-2.7466917629226373e-13
21,-1.567634910770721e-13
22,-2.8954616482224083e-13
23,-2.2581936320875684e-13
24,-3.197442310920451e-13
25,-7.724931805341839e-13
26,-4.18554080283684e-13
27,-1.7985612998927536e-13
28,-2.0161650127192843e-13
29,-8.659739592076221e-14
