,R^2
0,0.0030025184432759255
1,0.003262517839249246
2,0.0016598469808902783
3,0.002629161413679748
4,0.001704386362289867
5,0.005258963042848563
6,0.006049810463050642
7,0.005900610208554036
8,0.004814070227174283
9,0.0008983657751276963
10,0.0061241157633756815
11,0.00297063189716662
12,0.0009932898107296584
13,0.0007281332220272496
14,0.0055847667348702945
15,0.0029899136545478155
16,0.005601086815253509
17,0.004804824221856796
18,0.004520992116485156
19,0.004503635290997066
20,0.002548805106169838
21,0.005544151593621094
22,0.004561794808990438
23,0.002363977999935929
24,0.0017552510075071748
25,0.0013250665561117536
26,-0.00018591319975835852
27,0.008445469969983743
28,0.0035209512336180637
29,0.004307323615232672
