,R^2
0,0.0004250738632891604
1,0.015767274325329872
2,0.013689322034517781
3,0.008391541989563711
4,-0.000670877500370759
5,-0.0006069669473028894
6,0.03252314793577271
7,0.005774318516232779
8,0.021925292623726667
9,0.008055805209656541
10,0.01956885983004153
11,0.008167596302825153
12,0.008848443282481133
13,0.018799653171933217
14,0.0181995488106812
15,0.016633051342155092
16,0.01060200385643384
17,0.007589827092952639
18,0.016635144955157388
19,-1.9464271383218268e-05
20,0.009651076540949655
21,-0.0030686640359481876
22,0.011166860339846263
23,0.009775159214842288
24,0.009650662713717395
25,0.016787822756107573
26,0.01825007760560493
27,0.00449303351681507
28,0.004388151100425786
29,0.008691383013860077
