,R^2
0,0.009060866972936288
1,0.011258987171493096
2,0.013689946299956457
3,0.008919064336864069
4,0.0030308317407158336
5,0.010762359573647351
6,0.007576332299565336
7,0.015320791058314409
8,0.010391977198007774
9,0.008793475818038132
10,0.017751942598996262
11,0.008230901135235058
12,0.007522041458389528
13,0.019166151760210304
14,0.009828536967825374
15,0.009291799199232176
16,0.004552582357092327
17,0.011615854448463692
18,0.014570891504030015
19,0.0054371571792573015
20,0.00801403047129412
21,0.012228362697036532
22,0.010448542579898357
23,0.010003590522595251
24,0.012570685334719056
25,0.012610379094015967
26,0.014830204707452
27,0.005808182982976584
28,0.007215845405222798
29,0.0048724644324475985
