,R^2
0,6.336042801535768e-12
1,9.270362255620057e-13
2,-2.0392576516314875e-12
3,-7.454037387333301e-13
4,-1.8264501022713375e-11
5,-3.715472374210549e-12
6,-1.2367884494324244e-12
7,-8.47655279301307e-12
8,-5.062616992290714e-13
9,-5.441425088292817e-12
10,-1.6194157126392383e-11
11,-2.6189939106302518e-11
12,-2.007061183917358e-12
13,-4.5072834353732105e-12
14,-1.5751622228776796e-11
15,2.5779378631796135e-13
16,1.2596590437397026e-12
17,-9.811929047032208e-12
18,-3.8413716652030416e-14
19,-7.118305944686654e-12
20,1.0795808691455022e-12
21,-1.5254686402954576e-11
22,-7.757572362265819e-12
23,1.007194327939942e-12
24,-2.6104229888801456e-11
25,-1.5041967671436396e-11
26,4.097167050076678e-12
27,-3.249622793077833e-12
28,3.6979308504214714e-12
29,-4.452216373351803e-12
