,R^2
0,0.012776194885418368
1,0.09886164658376695
2,0.041774193104420876
3,-0.006297999514662034
4,0.02246174724227501
5,0.027815285546380686
6,-0.006068577502997163
7,0.028357007183521743
8,0.0030340312149863546
9,0.029398416102725866
10,0.04344453025365036
11,0.02553962270523924
12,0.019021113224995778
13,-0.0034426969717158418
14,0.018343278791768114
15,-0.017902999214969073
16,0.00908291308949849
17,0.01201889481238183
18,-0.03311255626961562
19,0.006449756315355826
20,-0.014558656802541314
21,-0.02047578033424602
22,0.03331358131608386
23,0.0053073551478666214
24,-0.01031717827183587
25,0.013144419175405764
26,0.03508703863334339
27,0.0044511756982883455
28,0.021917833754413252
29,0.034440216209770336
