,R^2
0,-0.0016165250165905976
1,0.00602905453032887
2,-0.0010558941179725778
3,0.0019413300815690482
4,0.004001775140253683
5,0.008052776192169042
6,-0.0005575805799303835
7,0.004379173561986249
8,0.007176097173389628
9,0.0037597422366781874
10,0.001081879386843898
11,0.007023083050747281
12,0.007026225909215089
13,0.002899808043976937
14,0.006445671309986523
15,0.011594020962679807
16,0.009669731118470692
17,0.008244868179394294
18,0.0022924721284175442
19,0.003325468472120674
20,0.0038036508599410546
21,0.0017070131371537123
22,0.0029818383132590442
23,0.007843242970626663
24,-0.004096312927845069
25,0.0004864814430063369
26,0.004204861483427913
27,0.0018796326867750457
28,0.002407352002116614
29,0.0003570156146025516
