,R^2
0,0.04015631598958702
1,0.01718162259855671
2,0.03951574132681812
3,0.024918200863785045
4,0.037368760938250256
5,0.03490934169414173
6,0.04052060036154559
7,0.014187274480703116
8,0.044578467052934334
9,0.026766330607839395
10,0.04039971479597482
11,0.03172507662594315
12,0.023482023925873063
13,0.04036541872586885
14,0.022021758931768387
15,0.02736792119854059
16,0.033827679854390835
17,0.02773123429765534
18,0.01779280981698861
19,0.036204645289687254
20,0.006140138656617999
21,0.03543940711824678
22,0.031197198282759464
23,0.022513223811855276
24,0.0020628763630690106
25,0.03743123335837417
26,0.03921964405848499
27,0.03541522875408143
28,0.03792827084480532
29,0.04266535331601595
