,R^2
0,0.00011257749255932925
1,3.457992190691872e-05
2,3.641995567349454e-05
3,1.7126023195590534e-05
4,9.137491595379021e-05
5,8.292299724643737e-05
6,-4.3397045901616416e-05
7,9.719051626955189e-05
8,7.796567523332687e-05
9,0.0001201602421204706
10,8.60413073346944e-05
11,6.402154098061885e-05
12,5.9155439863012305e-05
13,7.820734014241104e-05
14,3.871873649285984e-05
15,0.00011610181305321543
16,-3.574864270261546e-05
17,-1.0204609625530381e-05
18,3.810951631266768e-05
19,0.00012043462151078987
20,3.5934496380840564e-05
21,6.210076830903688e-05
22,7.490094231443756e-05
23,-8.029412249532797e-07
24,3.416415328705291e-05
25,7.74639312909331e-05
26,3.1977786960624144e-05
27,0.00011533085027737311
28,9.782980491646054e-05
29,9.609957237532996e-05
