,R^2
0,0.03536134313517858
1,0.01106343813950228
2,0.04603966542867033
3,0.010110366710412655
4,0.03245033125574148
5,0.030840852197609014
6,0.023776516319830576
7,0.009765372200374434
8,0.027822911246269344
9,0.03527313654980013
10,0.013108475585804968
11,0.01651637015920182
12,0.0179897902095959
13,0.0076667296830067455
14,0.015426420712038591
15,0.014542762339287418
16,0.01965343340475123
17,0.020371224505776775
18,0.018582030246464987
19,0.02454053871759332
20,0.025226727436592378
21,0.009172291281883127
22,0.017901575682437998
23,0.006954423655464059
24,0.030980861834567275
25,0.0027571332769852352
26,0.025678953804431193
27,0.02043015995760633
28,0.03331028092026889
29,0.007958498601144393
