,R^2
0,0.0027161553937706806
1,0.0009869098378141317
2,0.0032967615742660605
3,0.00863469871692879
4,0.004580941159278318
5,0.0069316488605022375
6,0.0022333641658022207
7,0.003542349069982742
8,0.0022942374660470666
9,0.004861281733090306
10,0.005478560639731622
11,0.0015843821580771023
12,0.001517689377602549
13,0.003659988769449729
14,0.0022284379801221776
15,0.0007777732661091719
16,0.00375529582119416
17,0.0029354006271083977
18,0.0034015498911612596
19,0.002230392340631493
20,0.002611357522751767
21,0.003327988626618761
22,0.002296302361771363
23,0.000589176438976935
24,0.002381999331672935
25,0.001983957703602157
26,0.0023113013336860666
27,0.0008844120025319757
28,0.0029661527730603376
29,0.0014402291696875569
