,R^2
0,0.008003057938065439
1,0.0028991755648108963
2,-0.0030227976073859963
3,-0.00024068044601111005
4,0.0038979706123342117
5,-0.0051686387542823065
6,0.004262195622004916
7,0.008563701196325324
8,0.0034086454943740296
9,-0.0027483139210616736
10,0.0030953908858168955
11,0.0038319762691035875
12,-0.002859628588948171
13,0.0015076762378748443
14,0.0026466643003418833
15,0.006232860265901974
16,0.0020879054839102462
17,0.009240399311610803
18,-0.0020293292184154765
19,-0.0030398970520585378
20,0.0009735643477332134
21,0.0036079384364329226
22,0.0021388598888458787
23,0.005694203880688642
24,0.006024369298336163
25,0.0014466104905331845
26,-0.00060958377837117
27,0.002759631759613357
28,0.0010786724593819796
29,-0.00016036671316188578
