,R^2
0,0.019870611359787516
1,0.0138489396928545
2,0.0169727270670188
3,0.0228421811818863
4,0.028575001025950453
5,0.014144038581886509
6,0.02617024219052122
7,0.02715340796567567
8,0.02439166443411689
9,0.02865172274215899
10,0.022478135040139735
11,0.03127217390072823
12,0.01699584334486892
13,0.015790037815273328
14,0.019164022033464567
15,0.01742016767872223
16,0.009166032897362508
17,0.016408620947757635
18,0.015454290783458058
19,0.01996608313146564
20,0.0187151057100009
21,0.023100028804803108
22,0.013776613141304628
23,0.025598754720865702
24,0.017565049278690292
25,0.030281465067853786
26,0.016388701212283974
27,0.031482136174624586
28,0.02105464159944348
29,0.025717744418173094
