,R^2
0,0.21240200959187439
1,0.1516416809756983
2,0.1652854437143385
3,0.17100412854427394
4,0.21621575419766392
5,0.23207320767750483
6,0.22654925491603817
7,0.15880222570254443
8,0.22511020332420917
9,0.19146157506907624
10,0.16219160929827126
11,0.2234087946850789
12,0.14666288199550526
13,0.18883908077192224
14,0.22160154923439657
15,0.18345624105913305
16,0.17678555791829198
17,0.19917999996211644
18,0.13906627440060593
19,0.18308712168484642
20,0.22067997363520853
21,0.10185752314926122
22,0.13447002926914775
23,0.12770662504907015
24,0.1598141857048131
25,0.190630868076189
26,0.1960343164450462
27,0.176011008513294
28,0.1849387654910838
29,0.18071691030875114
