,R^2
0,0.013969003141949932
1,0.010697404913732278
2,0.013326658844273087
3,0.01286399201465327
4,0.011110123256471427
5,0.012780356797726933
6,0.012023466827372542
7,0.010014170767857822
8,0.0106933300963864
9,0.011535179317808564
10,0.01375032931389153
11,0.014763709128677416
12,0.011123320174460272
13,0.012942708989016616
14,0.011125716721115286
15,0.010717153185678674
16,0.012170322130431566
17,0.013131489378911954
18,0.009057599967686958
19,0.013913184403297696
20,0.010398603567466802
21,0.009896288798552644
22,0.005928275949725781
23,0.012072502895611348
24,0.011296902583695534
25,0.007610101894299559
26,0.011169577364711691
27,0.010767269877097196
28,0.007306823130042384
29,0.011540187107296651
