,R^2
0,0.8774336652657205
1,0.8935033737392865
2,1.4411899813781766
3,0.9239988897442447
4,1.2073420533307508
5,1.0424119092396233
6,1.0014156787349033
7,1.0026302446549333
8,1.2146848467265328
9,1.017209681140886
10,1.4564001465292657
11,1.335350694861449
12,1.3921002784909007
13,1.36544425556458
14,1.3763664696412519
15,1.0841005382489628
16,1.0126874019292271
17,1.4562961508861803
18,1.1361575705587177
19,1.0696507663309351
20,1.3650408740779443
21,0.8761622149757884
22,1.0564446026222531
23,1.0278567892326016
24,0.9900516614773434
25,0.9880559197568644
26,0.9223679793420447
27,0.9537475968517094
28,1.3756499978050598
29,0.913016830205363
