,R^2
0,0.0003912795836622518
1,0.0008543227738062598
2,0.0012070532384576005
3,0.0004723731490965388
4,0.0003707818299986121
5,0.0008497212758520334
6,0.0005036011459319534
7,0.0010244192438060296
8,0.00012166429978766047
9,-0.00020128741454328303
10,4.9174816665442656e-05
11,-0.0009910969978637052
12,0.00026496215497162634
13,8.761182938799017e-05
14,-0.00030988882295490683
15,-0.0009058700461966884
16,-0.002078108085546093
17,-0.00017983579600822086
18,6.643153134833213e-05
19,-0.0005258366565340511
20,0.0004630379498986592
21,0.0005110840569891861
22,0.0019101678117339205
23,0.0008304133747022435
24,0.0009446731501667749
25,0.00017993725448028908
26,0.0006916299257835323
27,-0.0006710712458498636
28,0.0002874947717664833
29,0.00028535304659149663
