,R^2
0,0.0017103884751046294
1,0.004117298881210263
2,0.005106226355276577
3,0.0017449905983341063
4,0.002939188787166369
5,0.001209069333674151
6,0.004945414267509496
7,0.005356933051099411
8,0.0008695909740370489
9,0.004826288682093893
10,0.0008067290506741376
11,0.004494857896140236
12,0.002286738304802194
13,0.0022957614453718023
14,0.0007315900679958354
15,0.004015691640178787
16,0.0008801380130208925
17,0.003926161666887751
18,0.0030617467367428652
19,0.001188745487115228
20,0.0009793261967372402
21,0.002450449659593401
22,0.0011635923895285671
23,0.028770539893714142
24,0.00012761877644740238
25,0.0031139356400128326
26,0.0008907244385586433
27,0.0010407502787618261
28,0.03211426456027544
29,0.00228274951345242
