,R^2
0,0.027758072561032243
1,0.016469409983960626
2,0.03431512625571553
3,0.02050950146611097
4,0.03741883063820384
5,0.012651651481663362
6,0.04559606141373673
7,0.028097502162343413
8,0.04599428245507253
9,0.021791521457137142
10,0.025699824270849936
11,0.0027955069580269942
12,0.013278932833717727
13,0.027690088226942633
14,0.027960359962415415
15,0.017771282559761792
16,0.005431851408871369
17,0.009805294908859397
18,0.018086448082471618
19,0.02138429967715494
20,0.008405265382540605
21,0.010127021253996782
22,0.02710865666986484
23,0.0070734741198187345
24,0.035533963616883435
25,-0.006676165935954659
26,0.026064249690904817
27,0.01851651662079523
28,0.02843214664414151
29,0.023263063782647198
