,R^2
0,0.014846312089980884
1,0.008097897428113843
2,0.010337777430048156
3,0.01160023732273796
4,0.004249330440167731
5,0.002563459926220757
6,-0.008921375235195317
7,-0.0016158213175488934
8,0.012212941990936588
9,0.006707635006521606
10,0.0017316010179176944
11,0.010860521138507884
12,0.011878600615574886
13,0.0006664106299629768
14,0.0019241931033227022
15,0.008191447715935274
16,0.0012850929838038594
17,0.0069683203106123415
18,0.010607949049691756
19,0.018625077737516538
20,0.003715688865999933
21,0.003960507472228203
22,0.004383591159114131
23,0.009530988563711484
24,0.0018057388457209944
25,0.004226394235924191
26,0.013168821210850723
27,0.001464026337870794
28,0.00034142250341717695
29,0.012049306685197991
