,R^2
0,0.1214576987148096
1,0.12203005115610321
2,0.13226713987080008
3,0.1387252493866854
4,0.18238679763581012
5,0.09485847024778693
6,0.06399883307584375
7,0.1811746971979632
8,0.19011149156937657
9,0.05036662006147663
10,0.11231825267584283
11,0.12416041988471027
12,0.20871891047460778
13,0.08497151142937731
14,0.12179545993201468
15,0.17611734127939604
16,0.153404722512536
17,0.15687306829811398
18,0.11566250037741133
19,0.09485466511315288
20,0.13564344585817023
21,0.12375509361249215
22,0.18615459238975074
23,0.1594070668000388
24,0.19480614666869978
25,0.098437445027869
26,0.080786539286828
27,0.09214533969359373
28,0.1513510093670235
29,0.14941361349762217
