,R^2
0,0.007408876973901024
1,0.010087072166182987
2,0.009438049779048607
3,0.006482841195464384
4,0.009630382774705182
5,0.009218938248354958
6,0.008731633375367975
7,0.009094903938328125
8,0.00922588068207053
9,0.010141269712909962
10,0.004667952901825534
11,0.00870867813206433
12,0.010191952879781696
13,0.007613555303117692
14,0.006665227413068742
15,0.0091264729825008
16,0.0060038757175017166
17,0.008507207330557764
18,0.005451715266470036
19,0.007274209492003192
20,0.01011028661100577
21,0.008764687210196409
22,0.0043484455256846966
23,0.009833291186641668
24,0.00896692812770239
25,0.005648416303791981
26,0.01012124205999465
27,0.009550926147207428
28,0.006134693691044579
29,0.0075670881278331326
