,R^2
0,0.013461230754270304
1,0.01017986050943942
2,0.008997230269272016
3,0.011893964902341847
4,0.01316955710541401
5,0.009026240770707572
6,0.010976817396482041
7,0.010642230662489038
8,0.010891681837327027
9,0.012437543805532858
10,0.0107678793016317
11,0.011720141050285848
12,0.010957458110856022
13,0.012023113146720776
14,0.012908446515620065
15,0.012021441747215644
16,0.01148775931519519
17,0.008314862951464663
18,0.013215613981812036
19,0.011873119701820478
20,0.010440478499963879
21,0.010402956730804602
22,0.011372093029583086
23,0.011341628555651684
24,0.012430544184426018
25,0.009449997731160287
26,0.008970910713128943
27,0.00938059019290649
28,0.009338458974746833
29,0.008833671076444283
