,R^2
0,0.5616309795531583
1,0.5620858443969851
2,0.5365070505898536
3,0.5716063387416671
4,0.5546546466909587
5,0.5728365532007448
6,0.5743112518394701
7,0.5208835211925694
8,0.5513096662756743
9,0.5483409262072975
10,0.5520994026317575
11,0.5193502095237318
12,0.5717283350783028
13,0.5963313597777896
14,0.601435812923064
15,0.5874730909888465
16,0.540934605489581
17,0.5282047779304538
18,0.5869265616066973
19,0.5714506581836128
20,0.6069212799970257
21,0.5767490796455493
22,0.6349935340393903
23,0.5367624592221024
24,0.5635368645973268
25,0.5532350001870429
26,0.6178249738978735
27,0.5375702779920432
28,0.5368754886030508
29,0.5329128363949914
