,R^2
0,0.018890368729621132
1,0.009143327014801916
2,0.013255171654831921
3,0.01912630523825609
4,0.015577961442900135
5,0.01687470885426523
6,0.007715147980043469
7,0.004070833132176488
8,0.011603303959173195
9,0.009922851372264674
10,0.013504702907463861
11,0.017850920602405673
12,0.01111855589453381
13,0.010131839747852811
14,0.014233328603814766
15,0.012889433506975245
16,0.016718910446635205
17,0.013118676079808211
18,0.005080795213201816
19,0.012331731385035849
20,0.015354802599825357
21,0.013127640555002484
22,0.015015692854649765
23,0.014888780105906108
24,0.013884956215135191
25,0.011170208678284776
26,0.01728099455658061
27,0.012721118284664379
28,0.016528597531807243
29,0.012365298031219552
