,R^2
0,-0.0025337802139884236
1,0.002951506024456485
2,0.004629335531350143
3,0.0039653888586572705
4,0.0030891939124498835
5,0.00523903124048819
6,-0.0023011389209951494
7,0.00041976140719524047
8,0.004074014739075205
9,0.005275654454934164
10,0.005508804545379387
11,0.001841129705566713
12,0.004188217329074484
13,0.0032487658207490666
14,0.0021627170171413246
15,0.002777003822033053
16,0.0022972838049588606
17,0.005431693096744072
18,0.0011836777300835433
19,0.0032943387948958236
20,0.0019784712597001874
21,-0.003012651576536629
22,0.0046640002993639795
23,0.004946167411565394
24,0.002520857244426744
25,0.0023218124215356184
26,0.0043256859791109825
27,0.0020575862285511226
28,0.0039154139017489875
29,0.0016669782221548912
