,R^2
0,0.00044577785864563513
1,0.00036768212723370386
2,0.00038277489804983134
3,0.0005397382057464872
4,0.00041049982712015876
5,0.00037501062475520097
6,0.00017524455131767702
7,0.00024787619973198893
8,0.0005414051561254407
9,0.0008003918004116928
10,0.000707696504364641
11,0.0008287622038789522
12,0.000311473157576736
13,0.000798245840252898
14,-6.907601972405697e-05
15,0.00033038170399313227
16,0.0005531593661513012
17,0.000425371769761429
18,0.00020890883217372647
19,0.0005466123704869208
20,0.0007755949693555308
21,0.0004413566537911917
22,0.0004297983854349985
23,0.0005850076281965766
24,0.000841504575701868
25,0.0005008446914636089
26,0.0006622948815062646
27,0.00038698636494571836
28,0.0004925562652795534
29,0.0007532687013203088
