,R^2
0,0.004485645460856169
1,0.004590549628314289
2,0.0034120070791398005
3,0.004008102648377032
4,0.005512257263214693
5,0.0023733622768230545
6,0.005961046624546773
7,0.0033127323850065116
8,0.006788377333484696
9,0.005638841004857786
10,0.006634872597295227
11,0.004402056622111461
12,0.005595491295277588
13,0.003179917643998942
14,0.005856610205411394
15,0.003775023893707208
16,0.003793223950651181
17,0.00269021062459629
18,0.0049102237269520455
19,0.004585825391840825
20,0.0029535083606165857
21,0.003740927919807735
22,0.0048830797500326595
23,0.005847720761540165
24,0.004298875898978927
25,0.004713006946571063
26,0.006475702487866886
27,0.00395262725758061
28,0.004099683394504616
29,0.005354994270780122
