,R^2
0,0.0006836022076497361
1,-0.00016368458450621848
2,-0.0005745685993603367
3,-0.0006177418393022993
4,-0.0006267069605272457
5,0.001417477793324906
6,-0.001139986617058053
7,0.0005270062144573373
8,-0.0006106861131441876
9,-0.0010839020282722434
10,0.0013444523459142932
11,-1.6765212466185453e-05
12,-0.0008076550835771634
13,-0.0016844955691502905
14,6.73500810659533e-05
15,-0.001846837010373914
16,-0.0010649196072934908
17,9.389039279439348e-05
18,-0.0005617708865595095
19,-0.00040330257422704907
20,1.0322259997530558e-05
21,-0.002925099810795917
22,-0.0015762906356794337
23,0.0006314805722368311
24,-0.0005771051222812629
25,-0.0003918977657645373
26,-0.0005659040793624115
27,0.00026821662079290487
28,0.00019652048412843737
29,0.00043105254444164576
