,R^2
0,0.09433204135160056
1,0.0934441716730654
2,0.06338359865894827
3,0.07210724899263188
4,0.10484107976863077
5,0.12817136379656457
6,0.11071151915888766
7,0.09355334554130601
8,0.09159450722354145
9,0.08662175097109726
10,0.10081041232532495
11,0.09385100229641485
12,0.10641389430679205
13,0.08526630081381215
14,0.12381662054068021
15,0.09427604475557039
16,0.11851566739689345
17,0.12116744283074732
18,0.08037418617948178
19,0.08080567674764816
20,0.08960458881325195
21,0.09903509198913063
22,0.11045826045843776
23,0.0921127678982514
24,0.08642475956834716
25,0.06667457805884747
26,0.062214401811836795
27,0.0814867839833977
28,0.10047345747292513
29,0.09627101898108559
