,R^2
0,0.05200256090139421
1,0.052581902546735004
2,0.05811512302733124
3,0.053594550528944906
4,0.054424679010500854
5,0.05862498994104104
6,0.05173743201259684
7,0.04738037569175979
8,0.05735449358172362
9,0.06158799015299998
10,0.05182382519179107
11,0.03567750209672271
12,0.04134991508579433
13,0.042036209349527565
14,0.0457812264073717
15,0.04696245738754168
16,0.05348795509130155
17,0.03940540353049726
18,0.055609388875539234
19,0.04902457178088937
20,0.06126020271526811
21,0.03537169267665097
22,0.055672793511331586
23,0.038033777333185026
24,0.049399048188229155
25,0.06293972986033192
26,0.05064857606712303
27,0.05197527001346458
28,0.058231479721896684
29,0.03662448168637489
