,R^2
0,0.006561794711538171
1,0.006891830516513875
2,0.00789284953012348
3,0.009371004131393912
4,0.00932065162754403
5,0.009974044418363026
6,0.009182646378910087
7,0.004693600008713328
8,0.009492767120591883
9,0.00971404646554308
10,0.00939155459045149
11,0.0051769677810391546
12,0.009323462083453693
13,0.007821559417437562
14,0.008933318425717207
15,0.005082625990580292
16,0.007464745026127151
17,0.0034584250875279166
18,0.008039655786581612
19,0.0034450596764715735
20,0.008342574881325615
21,0.00628462319371581
22,0.00841434046931
23,0.010412778586721627
24,0.012019221889822629
25,0.006917397368317646
26,0.007634034836649817
27,0.0112887310752402
28,0.010914349099148346
29,0.008624702257540529
