,R^2
0,0.42282628387772636
1,0.4184991292296927
2,0.47459753899738333
3,0.44558778253047127
4,0.4465318542604737
5,0.4808311385572024
6,0.4591139740432193
7,0.39525318800756626
8,0.5072161673123645
9,0.4502839991862073
10,0.3610579177515054
11,0.4027225764268241
12,0.3808935673097431
13,0.47703500644870345
14,0.410265419630377
15,0.41112586754854674
16,0.47058362030857404
17,0.35723536063309025
18,0.41559216944185207
19,0.37985877476355645
20,0.2939681464960223
21,0.48426677684220265
22,0.4094076027283904
23,0.38404907830909574
24,0.43870051795670384
25,0.4618374198816515
26,0.4725431702583216
27,0.47081579273800367
28,0.4295932408917882
29,0.3736907350599217
