,R^2
0,0.01060055776188884
1,0.010198140877286876
2,0.014541592035921425
3,0.013466210694465963
4,0.014581623140802469
5,0.0068185682594580355
6,0.004732493499296608
7,0.0071483461173362794
8,0.010356979180737524
9,0.01178347366985022
10,0.01189079437887608
11,0.011940174786402413
12,0.011055414613489578
13,0.011321933601361467
14,0.011792990541680148
15,0.002746051133460603
16,0.007997490319084366
17,0.0062663091959055395
18,0.004343649168061625
19,0.01011504082345327
20,0.012072082374339765
21,0.009085720389320429
22,0.008735306349369254
23,0.006409110303796095
24,0.011086291347322752
25,0.0008740790267277587
26,0.008599873742366704
27,0.007267082410897463
28,0.006569080138084882
29,0.009423307819856341
