,R^2
0,0.003477920896009845
1,0.002546896245179453
2,0.0031182747938116595
3,0.0018174764010618905
4,0.002398504181951422
5,0.003239642118803787
6,0.0025078699332945487
7,0.0018138778255134547
8,0.002956731107552679
9,0.0023449287151677822
10,0.0021383152049327947
11,0.002254028007658837
12,0.0025097059505029273
13,0.0034063318255440622
14,0.0007597339326688157
15,0.0022456425724264317
16,0.0030298470061278504
17,0.003583542845786658
18,0.0014105992097872555
19,0.0014226858625689953
20,0.003468022064144871
21,0.0024115890405033147
22,0.0028957356034930992
23,0.0031703979044642727
24,0.003421388610544862
25,0.0020738244861779886
26,0.002345137388258589
27,0.0031546846682419805
28,0.0020073360852803646
29,0.002570126072133583
