,R^2
0,0.006024640152119565
1,0.005965674039958069
2,0.009503805967455037
3,0.0035956483669045136
4,0.0113693951807049
5,0.007189775899525963
6,0.0184426123686533
7,0.013079848575108466
8,0.00966672603071872
9,0.012821233060616
10,0.012270494129113962
11,0.0024830954357401014
12,0.01404634641487934
13,0.00947541882402314
14,0.010981731018074425
15,0.004853062400324015
16,0.01018237924355292
17,0.008437506391408944
18,0.009824368314608312
19,0.015535407142843183
20,0.014769600038307296
21,0.012355119695923289
22,0.007388262292803538
23,0.00967457755406087
24,0.004212180525528075
25,0.01452611150666816
26,0.001978006040941005
27,0.00827384074699078
28,0.004645238529173312
29,0.012614658884197993
