,R^2
0,0.0013206819769260303
1,0.0014054506042492365
2,0.0009071085004764834
3,0.000986496633994971
4,0.0009061247551256368
5,0.0008042791092233159
6,0.0018323941166592528
7,0.0009053094208922863
8,0.0011507044605122418
9,0.0007788916016177039
10,0.001256821230238847
11,0.0007602777766655411
12,0.0015907692838059706
13,0.0008828877864510698
14,0.0008606455002614366
15,0.001068518954224551
16,0.0013285136046364832
17,0.0007966636143065253
18,0.0017228227112867645
19,0.001139499933274668
20,0.0007845809158459893
21,0.0009145507838623779
22,0.0012034755958870713
23,0.0012462701032388557
24,0.0012310216658469875
25,0.0008001038252146708
26,0.001127352979283236
27,0.001089694644739625
28,0.0007554433862685395
29,0.000920024855532553
