,R^2
0,0.00639923435024381
1,0.0027132223388425247
2,0.009639625969728227
3,0.012348724035802783
4,0.002250061441076645
5,0.009176797168047757
6,0.009012063005975901
7,0.0028011369645203343
8,0.014077029476265213
9,0.007280872575024189
10,0.0035696253166712655
11,0.01432244263497684
12,0.004433154560278152
13,0.008894342918950637
14,0.011966844602699145
15,-9.886507029888136e-05
16,0.009735580158222512
17,0.014526572946400473
18,0.0012869339951021574
19,0.00875123891157159
20,0.007029566381755226
21,0.006233686919714043
22,0.0023143327312361572
23,0.01483834774080206
24,0.004281527832845855
25,0.010964392075683893
26,0.001547841516610693
27,0.014268159818137116
28,0.004411079966668452
29,0.011391482592755908
