,R^2
0,0.008917589536819981
1,0.00747069622700991
2,0.01027444535209976
3,0.008332030641154287
4,0.006687535830587343
5,0.00723917818627362
6,0.008089776442807062
7,0.005438310197682483
8,0.0070926460445124295
9,0.007656313663612302
10,0.009333374154913088
11,0.005916203150086008
12,0.006955384002204856
13,0.006110389171079644
14,0.004895238072534336
15,0.007746269669594019
16,0.004957934555961829
17,0.00525381934423641
18,0.008552634357588351
19,0.010658249130633957
20,0.004184142886576314
21,0.006168644100352227
22,0.010249968081433969
23,0.006007691430464757
24,0.0059747396910941886
25,0.01086489016872838
26,0.007150297774478842
27,0.004390695293525759
28,0.0055238969747002375
29,0.004757750557214613
