,R^2
0,0.0009354299158461643
1,0.0016111136505313484
2,-0.0004376312466434218
3,0.0015583049347248634
4,0.001884559432419941
5,0.005487703292503254
6,0.004031509056359184
7,-0.0028190972832526917
8,-0.0012672334236348837
9,0.002553024962591577
10,0.0016756480289729092
11,0.0017243178611511256
12,-0.00039344394901152935
13,0.0025205685356354257
14,0.0012881963381250472
15,0.0006613764197102023
16,0.005005400212295563
17,0.0005415331965942238
18,0.005729812360799835
19,0.002121693938148761
20,0.005203907415394449
21,0.004130916804714446
22,0.00017245372546448312
23,0.0006264872025100177
24,0.0009550753090826758
25,0.005422221739408872
26,0.0017583491802963813
27,0.0006413505582577583
28,0.004661361357122473
29,0.004802410302884086
