,R^2
0,0.15903459825810107
1,0.1598550097948398
2,0.14663778933535776
3,0.16324559265476002
4,0.16664961026841518
5,0.18328018910735655
6,0.1750740867020003
7,0.14403636196561231
8,0.13498504696100322
9,0.16709618288221428
10,0.1548123151784272
11,0.1671463966283362
12,0.15046079723796402
13,0.18602473061323754
14,0.1625448236184056
15,0.16782865151183912
16,0.15594159381340533
17,0.15354392228900715
18,0.18155926275669898
19,0.18671913908893156
20,0.12322178510914727
21,0.15520506246397803
22,0.13139136981133148
23,0.17223397782815975
24,0.1402379228408236
25,0.20796545520835108
26,0.15888544573260255
27,0.1501056642473354
28,0.1596252762438758
29,0.16510967603240057
