,R^2
0,0.02129240581286962
1,0.015823274104575402
2,0.007168812570964911
3,0.024402564203857446
4,0.012482068481055819
5,0.011728954893415744
6,0.010927079051704647
7,0.012891488885450775
8,0.01457389195108727
9,0.026940876926460855
10,0.0012299253877903205
11,0.02027752355530965
12,0.01718064957525356
13,0.011429329167587321
14,0.01686144997746053
15,0.01372079753430544
16,0.01708941055519908
17,0.012770834014674493
18,0.022880932501975537
19,0.0232248780356753
20,0.009970443752707947
21,0.020017585036692154
22,0.008587684588962419
23,0.01590915376041091
24,0.013406275716522753
25,0.013109826608182606
26,0.007589013385573162
27,0.01211666745022666
28,0.013569493142728928
29,0.00946224896996073
