,R^2
0,0.0033739050161295525
1,0.003602302051545103
2,0.0038969965171575804
3,0.002360857311634712
4,0.003967088985264433
5,0.002588535369848599
6,0.0030661169986108128
7,0.002872769916533069
8,0.0028399043557474357
9,0.0030657154893346528
10,0.002609066878371924
11,0.002233435521311944
12,0.0032469849729133138
13,0.00427889296497419
14,0.002938696593048795
15,0.0027785328270751863
16,0.003277989192953301
17,0.0042108027755281
18,0.003417656590308238
19,0.003681966310103868
20,0.002715658816714539
21,0.0019446302695844686
22,0.0025010961152678313
23,0.002230203261872954
24,0.0009255441107448581
25,0.002190120767142645
26,0.0026805779342764513
27,0.0037677315981083925
28,0.0024914424304296467
29,0.0012344638426253773
