,R^2
0,0.06621796574463523
1,0.0413326927556501
2,0.05817191971329694
3,0.0460450224390655
4,0.06645520994039278
5,0.04726922595787131
6,0.05656078014108323
7,0.044764881458393746
8,0.05899927292337792
9,0.052335010309384034
10,0.05641718992693501
11,0.044259904281337414
12,0.04750873579723658
13,0.04005276778965494
14,0.058234834761883736
15,0.05455170252728281
16,0.05073481167019667
17,0.04488458763258929
18,0.052091941310789536
19,0.0447724720859366
20,0.04501757093626346
21,0.04582825193361262
22,0.031032740400559256
23,0.04584052244891346
24,0.053486111582720874
25,0.04446863213547503
26,0.04812229697808845
27,0.057692150363543915
28,0.04189769930678644
29,0.041415366517197016
