,R^2
0,0.006539733428645
1,0.007039275680255752
2,0.00467979903092508
3,0.007661016844030644
4,0.008506144013245787
5,0.006679671614326477
6,0.0100080288894423
7,0.007657104959284178
8,0.008336265049175173
9,0.006292023018450665
10,0.006782134860911726
11,0.004962225056843406
12,0.006954775230294752
13,0.00697718041706108
14,0.005253290989220116
15,0.008137158062175853
16,0.004787525356733879
17,0.005164600361276639
18,0.006728304175440014
19,0.006973264334146245
20,0.006518851983313034
21,0.006130187701818723
22,0.003375626427489453
23,0.005002533215346938
24,0.007295613261783851
25,0.006232348122234388
26,0.009490775383773187
27,0.006521747635930275
28,0.006640984998810717
29,0.006922633115575172
