,R^2
0,-0.0031449673769564646
1,0.003709319678290468
2,-0.0018158342438280295
3,0.0024160306838516554
4,0.0035933262889510376
5,-0.000627194732454317
6,-0.002248767028913523
7,0.0015405760168184512
8,-0.0013127734394320356
9,-0.0012903803480289744
10,-0.00041810778128303916
11,0.0005104039473049493
12,-0.0009093187961942695
13,-0.0018517882338286995
14,0.000583348827791097
15,0.0008737521923782854
16,0.0006970082592339111
17,-0.000422524986193773
18,0.0015010659554385297
19,-0.0021666908298305643
20,-0.000384246207623673
21,-0.0005062758954896829
22,-0.0008227303938845854
23,-0.0008960107127542472
24,0.0023211129345839243
25,0.003320393966966817
26,-0.0007000899306773833
27,0.0001578994800811584
28,0.0016706208709749149
29,0.0018955019499424797
