,R^2
0,0.0031612088819252815
1,0.005088912395031953
2,0.0041589530366618055
3,0.0011009388175439172
4,0.004210318634052634
5,0.0016065397656763736
6,0.001761702524312736
7,0.0049395381620521706
8,0.008365545638571503
9,-0.0006126520028993943
10,0.0038133468699831363
11,0.005703526912482659
12,0.007237725740284029
13,0.0030776618466280548
14,0.004388702729220095
15,0.00018896541665336386
16,0.004576219134990067
17,0.0037121891536960883
18,0.006191475457108742
19,0.002427210759503584
20,0.007319137397095776
21,0.004582407811000944
22,0.0052441211858325065
23,-0.0015080290878244362
24,-0.0015594974008590334
25,0.004414923322652586
26,0.0025617650582285822
27,0.0007037299833579924
28,0.0032977431792893253
29,0.006815296306035168
