,R^2
0,0.26337152382251894
1,0.23752426439484775
2,0.22713998660828594
3,0.2609704520419662
4,0.21253794892800293
5,0.25076191528692604
6,0.21000502204877203
7,0.23680531731173848
8,0.20196122726318144
9,0.20897434585738672
10,0.21564615726752645
11,0.2858455494041191
12,0.26218552281695995
13,0.2384431867755541
14,0.2110053976281676
15,0.2647449125395168
16,0.22658610139233437
17,0.2335335517518653
18,0.24843018817859164
19,0.23285889593538822
20,0.24949941080516214
21,0.23606409768055414
22,0.20434629192704867
23,0.2708581448106784
24,0.27363142462831935
25,0.3128174297739763
26,0.16979601724354398
27,0.22339864238299156
28,0.2308417151423413
29,0.2630562685050952
